,nothing,address,price,size,real_link
0,,"
new
                        3513 CB Utrecht (Pijlsweerd-Zuid)
        ","
                    €1,500 per month
                ",85 m²,"/apartment-for-rent/utrecht/6b329bf4/herenweg"""
1,,"
                        3532 HN Utrecht (Lombok-Oost)
        ","
                    €1,750 per month
                ",100 m²,"/apartment-for-rent/utrecht/334d74df/vleutenseweg"""
2,,"
                        3582 JE Utrecht (Rubenslaan en omgeving)
        ","
                    €1,345 per month
                ",75 m²,"/apartment-for-rent/utrecht/dc0f2dcc/rubenslaan"""
3,,"
                        3582 BH Utrecht (Abstede, Tolsteegsingel e.o.)
        ","
                    €1,295 per month
                ",110 m²,"/apartment-for-rent/utrecht/325e2722/abstederdijk"""
4,,"
                        3513 EP Utrecht (Pijlsweerd-Noord)
        ","
                    €1,450 per month
                ",95 m²,"/apartment-for-rent/utrecht/d78d3866/oudenoord"""
5,,"
                        3532 CZ Utrecht (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)
        ","
                    €1,550 per month
                ",81 m²,"/apartment-for-rent/utrecht/74d056a9/louis-couperusstraat"""
6,,"
                        3563 VV Utrecht (Vechtzoom-zuid)
        ","
                    €1,650 per month
                ",115 m²,"/house-for-rent/utrecht/63a4d0f3/londrinadreef"""
7,,"
                        3512 NM Utrecht (Domplein, Neude, Janskerkhof)
        ","
                    €1,650 per month
                ",110 m²,"/apartment-for-rent/utrecht/325d9957/korte-nieuwstraat"""
8,,"
                        3564 AE Utrecht (Zambesidreef en omgeving)
        ","
                    €1,125 per month
                ",85 m²,"/apartment-for-rent/utrecht/3dd1cdfc/tafelbergdreef"""
9,,"
                        3562 TL Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,250 per month
                ",82 m²,"/apartment-for-rent/utrecht/798a3092/rhodosdreef"""
10,,"
                        3514 BH Utrecht (Lauwerecht)
        ","
                    €1,475 per month
                ",60 m²,"/apartment-for-rent/utrecht/5e7dc909/gruttersdijk"""
11,,"
                        3523 HM Utrecht (Nieuw Hoograven-Noord)
        ","
                    €1,275 per month
                ",67 m²,"/apartment-for-rent/utrecht/16620dce/huis-ten-boschlaan"""
12,,"
                        3571 XZ Utrecht (Tuindorp-Oost)
        ","
                    €1,675 per month
                ",110 m²,"/apartment-for-rent/utrecht/b76a7683/ruemkelaan"""
13,,"
                        3582 AP Utrecht (Abstede, Tolsteegsingel e.o.)
        ","
                    €1,550 per month
                ",66 m²,"/apartment-for-rent/utrecht/a0bff797/looierstraat"""
14,,"
                        3562 XT Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,350 per month
                ",80 m²,"/apartment-for-rent/utrecht/94552607/einsteindreef"""
15,,"
                        3527 AR Utrecht (Kanaleneiland-Noord)
        ","
                    €1,350 per month
                ",85 m²,"/apartment-for-rent/utrecht/1ce35f2c/rooseveltlaan"""
16,,"
                        3572 XE Utrecht (Zeeheldenbuurt, Hengeveldstraat en omgeving)
        ","
                    €1,750 per month
                ",70 m²,"/apartment-for-rent/utrecht/9959d649/admiraal-van-gentstraat"""
17,,"
                        3553 VC Utrecht (Julianapark en omgeving)
        ","
                    €1,445 per month
                ",75 m²,"/apartment-for-rent/utrecht/e835f843/hermannus-elconiusstraat"""
18,,"
                        3513 EW Utrecht (Pijlsweerd-Zuid)
        ","
                    €1,750 per month
                ",89 m²,"/apartment-for-rent/utrecht/2cf03b8d/westerdijk"""
19,,"
                        3526 SR Utrecht (Kanaleneiland-Zuid)
        ","
                    €1,275 per month
                ",85 m²,"/apartment-for-rent/utrecht/bc6cd345/azielaan"""
20,,"
                        3562 SJ Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,375 per month
                ",81 m²,"/apartment-for-rent/utrecht/063cb4c7/korfoedreef"""
21,,"
                        3584 GT Utrecht (Rijnsweerd)
        ","
                    €1,295 per month
                ",63 m²,"/apartment-for-rent/utrecht/7b5aa7b1/eduard-verkadelaan"""
22,,"
                        3573 AG Utrecht (Voordorp en Voorveldsepolder)
        ","
                    €1,350 per month
                ",78 m²,"/apartment-for-rent/utrecht/ec162e0a/aartsbisschop-romerostraat"""
23,,"
                        3571 PB Utrecht (Tuindorp-Oost)
        ","
                    €1,300 per month
                ",70 m²,"/apartment-for-rent/utrecht/508f19bc/hijmans-van-den-berghlaan"""
24,,"
                        3554 CL Utrecht (Geuzenwijk)
        ","
                    €1,495 per month
                ",89 m²,"/apartment-for-rent/utrecht/d7a5d24c/jacob-simonsz-de-rijkstraat"""
25,,"
                        3582 GH Utrecht (L. Napoleonplantsoen en omgeving)
        ","
                    €1,425 per month
                ",80 m²,"/apartment-for-rent/utrecht/bfd93471/koningsweg"""
26,,"
                        3552 XE Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,375 per month
                ",75 m²,"/apartment-for-rent/utrecht/a598d368/loevenhoutsedijk"""
27,,"
                        3523 VD Utrecht (Oud Hoograven-Noord)
        ","
                    €1,695 per month
                ",75 m²,"/apartment-for-rent/utrecht/fd9e1ba1/prinses-beatrixplein"""
28,,"
                        3523 AN Utrecht (Tolsteeg en Rotsoord)
        ","
                    €1,495 per month
                ",69 m²,"/apartment-for-rent/utrecht/4afa2cc4/tolsteegplantsoen"""
29,,"
                        3527 JG Utrecht (Transwijk-Noord)
        ","
                    €1,450 per month
                ",103 m²,"/apartment-for-rent/utrecht/64fc68e3/van-vollenhovenlaan"""
30,,"
                        3581 CG Utrecht (Buiten Wittevrouwen)
        ","
                    €1,680 per month
                ",64 m²,"/apartment-for-rent/utrecht/dadeeb1c/maliebaan"""
31,,"
                        3552 CR Utrecht (Ondiep)
        ","
                    €1,750 per month
                ",140 m²,"/house-for-rent/utrecht/0dd9d8f0/thorbeckelaan"""
32,,"
                        3511 AV Utrecht (Breedstraat en Plompetorengracht en omgeving)
        ","
                    €1,350 per month
                ",60 m²,"/apartment-for-rent/utrecht/2223e609/oudegracht"""
33,,"
                        3551 SL Utrecht (2e Daalsebuurt en omgeving)
        ","
                    €1,450 per month
                ",58 m²,"/house-for-rent/utrecht/d2f08938/dirkje-mariastraat"""
34,,"
                        3521 BE Utrecht (Dichterswijk)
        ","
                    €1,700 per month
                ",70 m²,"/apartment-for-rent/utrecht/507b14ef/veilingstraat"""
35,,"
                        3512 BD Utrecht (Domplein, Neude, Janskerkhof)
        ","
                    €1,700 per month
                ",75 m²,"/apartment-for-rent/utrecht/c1e2195b/jansveld"""
36,,"
                        3513 DD Utrecht (Pijlsweerd-Zuid)
        ","
                    €1,695 per month
                ",67 m²,"/apartment-for-rent/utrecht/70a6fd34/jongeneelwerf"""
37,,"
                        3583 AD Utrecht (Rubenslaan en omgeving)
        ","
                    €1,550 per month
                ",68 m²,"/apartment-for-rent/utrecht/3cfc102c/adriaen-van-ostadelaan"""
38,,"
                        3531 GC Utrecht (Lombok-West)
        ","
                    €1,350 per month
                ",75 m²,"/apartment-for-rent/utrecht/75b0506b/daendelsstraat"""
39,,"
                        3562 TM Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,325 per month
                ",81 m²,"/apartment-for-rent/utrecht/36ea54d3/rhodosdreef"""
40,,"
                        3552 CB Utrecht (Ondiep)
        ","
                    €1,499 per month
                ",55 m²,"/apartment-for-rent/utrecht/45533a93/amandelstraat"""
41,,"
                        3513 EP Utrecht (Pijlsweerd-Noord)
        ","
                    €1,750 per month
                ",89 m²,"/apartment-for-rent/utrecht/0e2aa571/oudenoord"""
42,,"
                        3564 AB Utrecht (Zambesidreef en omgeving)
        ","
                    €1,350 per month
                ",93 m²,"/apartment-for-rent/utrecht/956cadab/tafelbergdreef"""
43,,"
                        3562 XS Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,350 per month
                ",90 m²,"/apartment-for-rent/utrecht/a306a0a0/einsteindreef"""
44,,"
                        3511 BD Utrecht (Hoog-Catharijne NS en Jaarbeurs)
        ","
                    €1,595 per month
                ",90 m²,"/apartment-for-rent/utrecht/f5a05add/vredenburg"""
