nan,"
new
                        3513 CB Utrecht (Pijlsweerd-Zuid)
        ","
                    €1,500 per month
                ",85 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/6b329bf4/herenweg"">Apartment Herenweg</a>"
nan,"
                        3532 HN Utrecht (Lombok-Oost)
        ","
                    €1,750 per month
                ",100 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/334d74df/vleutenseweg"">Apartment Vleutenseweg</a>"
nan,"
                        3582 JE Utrecht (Rubenslaan en omgeving)
        ","
                    €1,345 per month
                ",75 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/dc0f2dcc/rubenslaan"">Apartment Rubenslaan 81 3</a>"
nan,"
                        3582 BH Utrecht (Abstede, Tolsteegsingel e.o.)
        ","
                    €1,295 per month
                ",110 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/325e2722/abstederdijk"">Apartment Abstederdijk</a>"
nan,"
                        3513 EP Utrecht (Pijlsweerd-Noord)
        ","
                    €1,450 per month
                ",95 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/d78d3866/oudenoord"">Apartment Oudenoord</a>"
nan,"
                        3532 CZ Utrecht (Nieuw Engeland, Th. a. Kempisplantsoen en omgeving)
        ","
                    €1,550 per month
                ",81 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/74d056a9/louis-couperusstraat"">Apartment Louis Couperusstraat</a>"
nan,"
                        3563 VV Utrecht (Vechtzoom-zuid)
        ","
                    €1,650 per month
                ",115 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/house-for-rent/utrecht/63a4d0f3/londrinadreef"">House Londrinadreef</a>"
nan,"
                        3512 NM Utrecht (Domplein, Neude, Janskerkhof)
        ","
                    €1,650 per month
                ",110 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/325d9957/korte-nieuwstraat"">Apartment Korte Nieuwstraat</a>"
nan,"
                        3564 AE Utrecht (Zambesidreef en omgeving)
        ","
                    €1,125 per month
                ",85 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/3dd1cdfc/tafelbergdreef"">Apartment Tafelbergdreef 150</a>"
nan,"
                        3562 TL Utrecht (Zamenhofdreef en omgeving)
        ","
                    €1,250 per month
                ",82 m²,"<a class=""listing-search-item__link listing-search-item__link--title"" href=""/apartment-for-rent/utrecht/798a3092/rhodosdreef"">Apartment Rhodosdreef</a>"
